timestamp,time_since_login_min,transaction_amount,transaction_type,is_first_transaction,user_tenure_months,is_fraud,predicted_fraud_proba,predicted_fraud
2018-01-01 00:00:00.000,1.5617497107788205,3981.1,PAYMENT,False,0.31897994415998177,1.0,0.99,1
2018-01-01 00:08:43.152,1.6580740711888848,1267.9,PAYMENT,False,7.39132288639507,0.0,0.07,0
2018-01-01 00:17:26.304,2.454287218846913,1984.7,CASH-IN,False,0.7812249918177354,1.0,1.0,1
2018-01-01 00:26:09.456,2.3920851380548953,2265.2,CASH-OUT,False,0.6804729918485642,1.0,0.98,1
2018-01-01 00:34:52.608,2.189805835502333,2126.8,CASH-IN,False,8.54289457231266,1.0,0.99,1
2018-01-01 00:43:35.760,2.2537655767403275,1346.2,CASH-IN,False,2.5353405092772294,1.0,0.95,1
2018-01-01 00:52:18.912,1.4052076546234,4577.5,PAYMENT,False,8.912316598704706,0.0,0.32,0
2018-01-01 01:01:02.064,2.210681871554982,1025.1,,False,6.263922628957305,1.0,0.59,0
2018-01-01 01:09:45.216,2.198534351595683,5648.1,CASH-OUT,False,3.4972378366940338,1.0,0.88,1
2018-01-01 01:18:28.368,2.3433644831433362,2040.0,TRANSFER,False,10.381911977473461,0.0,0.89,1
2018-01-01 01:27:11.520,1.476140764421444,4220.2,PAYMENT,False,5.326501686287562,0.0,0.02,0
2018-01-01 01:35:54.672,1.656579761001486,1035.9,CASH-IN,False,10.057558546185353,1.0,1.0,1
2018-01-01 01:44:37.824,0.6413344461778647,1336.8,CASH-IN,True,9.274645264612234,0.0,0.01,0
2018-01-01 01:53:20.976,1.763262430969588,1523.2,TRANSFER,False,2.5560228528806164,1.0,0.98,1
2018-01-01 02:02:04.128,2.4542233508799254,3117.8,CASH-OUT,False,8.727482945848573,1.0,0.05,0
2018-01-01 02:10:47.280,1.9108647071762843,1087.3,CASH-OUT,False,1.9916763374287196,1.0,0.92,1
2018-01-01 02:19:30.432,2.018745546897921,1274.6,PAYMENT,True,9.821509788275014,0.0,0.02,0
2018-01-01 02:28:13.584,2.1505446703283124,1521.5,CASH-IN,False,10.24309287124444,0.0,0.02,0
2018-01-01 02:36:56.736,2.9326431190362676,2369.8,CASH-OUT,False,10.170073788399987,0.0,0.0,0
2018-01-01 02:45:39.888,2.3815855070896363,1267.0,PAYMENT,False,6.826057673142143,1.0,0.98,1
2018-01-01 02:54:23.040,1.9469091542442543,2035.9,CASH-IN,False,6.972909687849702,0.0,0.03,0
2018-01-01 03:03:06.192,1.9681443046897265,1091.1,PAYMENT,False,4.197395768539489,0.0,0.4,0
2018-01-01 03:11:49.344,2.3724902205967373,2807.2,CASH-IN,False,8.570537983634209,1.0,0.03,0
2018-01-01 03:20:32.496,1.855600673893241,2838.9,CASH-IN,False,10.41152999936747,0.0,0.01,0
2018-01-01 03:29:15.648,1.9912117328546861,6007.0,CASH-OUT,False,10.19835042840024,0.0,0.2,0
2018-01-01 03:37:58.800,2.0528844213191,1585.5,,False,6.451616269011091,0.0,0.13,0
2018-01-01 03:46:41.952,2.148422741134818,2062.6,PAYMENT,True,9.748060810755966,1.0,0.97,1
2018-01-01 03:55:25.104,1.7374779291369844,2124.7,PAYMENT,False,10.15526210681203,0.0,0.0,0
2018-01-01 04:04:08.256,1.556622645849826,1562.0,CASH-OUT,False,3.274573649900664,1.0,0.96,1
2018-01-01 04:12:51.408,1.8185534231685259,1175.5,CASH-IN,False,4.32168764564179,0.0,0.02,0
2018-01-01 04:21:34.560,1.5907077297261691,1974.0,PAYMENT,False,9.726353662233183,1.0,0.98,1
2018-01-01 04:30:17.712,2.4773771405841623,1098.3,CASH-OUT,False,8.681183247912372,1.0,0.99,1
2018-01-01 04:39:00.864,2.691075520488491,4996.6,CASH-OUT,False,9.827068264217491,1.0,0.99,1
2018-01-01 04:47:44.016,1.682717542114562,1406.0,CASH-IN,True,1.5752274239262622,1.0,0.96,1
2018-01-01 04:56:27.168,2.1409538999966156,1177.0,PAYMENT,False,4.804772553824245,1.0,0.95,1
2018-01-01 05:05:10.320,1.8968964913847697,2832.2,CASH-OUT,False,10.154070282882678,1.0,0.98,1
2018-01-01 05:13:53.472,2.7366132793415914,1045.9,CASH-IN,False,9.761305895501813,0.0,0.02,0
2018-01-01 05:22:36.624,1.5891211371356109,1222.9,PAYMENT,False,5.531906345169708,0.0,0.04,0
2018-01-01 05:31:19.776,1.6160125799388418,8230.2,PAYMENT,False,0.06006054655719255,1.0,0.99,1
2018-01-01 05:40:02.928,2.4656402669408184,1969.7,PAYMENT,True,9.537775110713747,0.0,0.02,0
2018-01-01 05:48:46.080,2.2408298209977895,6151.7,TRANSFER,False,9.835722968542859,1.0,0.98,1
2018-01-01 05:57:29.232,1.9360079969833928,6264.9,CASH-IN,False,0.16508895701321954,1.0,0.98,1
2018-01-01 06:06:12.384,1.6492694881700432,9855.8,PAYMENT,False,10.223436200782542,1.0,0.76,1
2018-01-01 06:14:55.536,2.1316512259336906,2692.6,CASH-OUT,False,10.090299774962194,1.0,0.94,1
2018-01-01 06:23:38.688,2.097971753457712,1211.7,TRANSFER,False,2.230785887059012,1.0,0.98,1
2018-01-01 06:32:21.840,1.8376672478994962,1303.4,CASH-OUT,False,2.8914443678446933,0.0,0.89,1
2018-01-01 06:41:04.992,1.739869326205815,2128.6,,False,1.526466677444478,1.0,0.93,1
2018-01-01 06:49:48.144,1.7618525219143009,6340.3,CASH-OUT,False,0.16660798749062206,1.0,0.99,1
2018-01-01 06:58:31.296,1.3225492025200434,6281.9,CASH-OUT,False,10.18382025539806,0.0,0.03,0
2018-01-01 07:07:14.448,1.6565606293680046,4305.2,TRANSFER,False,0.1049209573120164,1.0,0.99,1
2018-01-01 07:15:57.600,1.6050643830073557,1903.8,PAYMENT,False,1.8302313057178603,1.0,1.0,1
2018-01-01 07:24:40.752,0.4308625553945659,1580.5,CASH-IN,False,2.4222893286239056,1.0,0.98,1
2018-01-01 07:33:23.904,2.215510158049974,7096.2,CASH-OUT,False,9.272540817918774,1.0,0.97,1
2018-01-01 07:42:07.056,2.023586900597465,6446.8,CASH-IN,True,0.4370458243348534,1.0,1.0,1
2018-01-01 07:50:50.208,2.2602924447953203,7607.1,,False,0.598261728884672,1.0,0.97,1
2018-01-01 07:59:33.360,1.883782449774646,6175.7,TRANSFER,False,10.124704961416064,0.0,0.06,0
2018-01-01 08:08:16.512,1.8218250553679616,1722.1,CASH-IN,False,9.139962367446946,0.0,0.16,0
2018-01-01 08:16:59.664,2.895802929714239,1161.4,PAYMENT,False,8.627727269542708,0.0,0.0,0
2018-01-01 08:25:42.816,2.3958187453458972,1605.8,PAYMENT,False,2.1135905506569657,1.0,0.99,1
2018-01-01 08:34:25.968,1.753372860084385,1349.9,CASH-OUT,False,8.997411023886377,1.0,0.93,1
2018-01-01 08:43:09.120,2.051419215260848,6022.8,PAYMENT,True,10.02104119768942,0.0,0.03,0
2018-01-01 08:51:52.272,2.101980415085875,3556.0,CASH-IN,False,6.600228390233254,0.0,0.01,0
2018-01-01 09:00:35.424,2.226584301843908,1776.1,PAYMENT,True,1.6850551198312784,1.0,0.87,1
2018-01-01 09:09:18.576,2.0544425835140467,1403.4,,False,9.058214032940226,1.0,0.97,1
2018-01-01 09:18:01.728,1.9277256893803354,6404.5,PAYMENT,False,9.881562324870472,1.0,0.86,1
2018-01-01 09:26:44.880,1.9680108097187676,1329.9,PAYMENT,False,9.906926267262907,0.0,0.0,0
2018-01-01 09:35:28.032,1.8103235402219644,1235.1,PAYMENT,False,7.928948963579339,0.0,0.1,0
2018-01-01 09:44:11.184,2.5397679843665797,3602.6,CASH-OUT,False,10.260636704437912,1.0,0.89,1
2018-01-01 09:52:54.336,2.224752728160007,1424.0,,False,10.415918483477666,1.0,0.9,1
2018-01-01 10:01:37.488,1.7775951954683191,5357.3,PAYMENT,True,10.276458485111835,0.0,0.01,0
2018-01-01 10:10:20.640,1.6945214569464746,1080.1,PAYMENT,False,6.012343364297273,1.0,0.9,1
2018-01-01 10:19:03.792,1.6829453590534442,1606.3,TRANSFER,False,4.880988447921126,0.0,0.24,0
2018-01-01 10:27:46.944,2.1896507617276866,1988.7,CASH-IN,False,7.6774117992275555,0.0,0.05,0
2018-01-01 10:36:30.096,1.674169106302294,4390.4,PAYMENT,False,9.180465716073689,0.0,0.04,0
